property_id,date,month,occupancy_rate,effective_rent_psf,noi,energy_cost,maintenance_cost,water_usage,tenant_satisfaction_score,work_orders_count,work_orders_avg_days,collections_rate
CBRE_00001,2025-06-12,2025-06,0.8830391266423107,7.101459674611748,-44765.56246973478,44868.81666666667,9876.415136557582,187086.49375000002,6.8,7,7.2,0.947
CBRE_00001,2025-07-12,2025-07,0.8965266654877819,6.934530119293636,-44125.55896537735,43140.06648374598,8843.981257726215,183574.7804465406,7.2,5,9.0,0.978
CBRE_00001,2025-08-11,2025-08,0.8617737331289863,6.896673078522338,-45545.01487779768,42507.3,11239.43299878097,182289.40416666667,9.0,5,7.5,0.944
CBRE_00001,2025-09-10,2025-09,0.8892892444595989,6.957000355989207,-43146.74409042962,43140.06648374597,9437.06858431924,183574.7804465406,8.0,4,9.9,0.978
CBRE_00001,2025-10-10,2025-10,0.8565420083332362,7.035823263486748,-45833.36172637949,44868.81666666666,10985.862199590003,187086.49375,8.9,6,2.4,0.982
CBRE_00002,2023-11-20,2023-11,0.8871264555464778,12.015981790018163,-18803.447586156974,30902.25,11478.271262162581,178175.83333333334,6.6,7,4.1,0.973
CBRE_00002,2023-12-20,2023-12,0.8974988389825584,12.374770127202114,-19488.91976076756,32447.362500000003,11604.68831059932,182630.22916666666,8.6,6,6.2,0.974
CBRE_00002,2024-01-19,2024-01,0.8801701933914498,12.228710627116092,-18940.719439939665,33578.46335340977,13079.155139751661,185891.0732336898,6.9,4,4.1,0.978
CBRE_00002,2024-02-18,2024-02,0.9665762275161953,12.124724575559137,-18953.22909838874,33992.475000000006,11673.43115404629,187084.62500000003,7.6,6,5.9,0.983
CBRE_00002,2024-03-19,2024-03,0.9191033948425036,12.235522240187649,-20188.510192525227,33578.46335340977,11015.411074563797,185891.0732336898,8.1,6,6.4,0.952
CBRE_00002,2024-04-18,2024-04,0.9126148480865252,12.353452747692756,-19118.10734628149,32447.362500000003,12580.684350517808,182630.22916666666,7.6,5,3.3,0.975
CBRE_00002,2024-05-18,2024-05,0.9072643787066857,12.235619205532934,-19539.21592658756,30902.25,12479.888681133545,178175.83333333334,8.6,4,9.5,0.95
CBRE_00002,2024-06-17,2024-06,0.8813023782174185,12.188389169016876,-18350.67974092084,29357.1375,10116.408775927357,173721.4375,8.4,11,3.4,0.965
CBRE_00002,2024-07-17,2024-07,0.8399771514963179,12.242325296693677,-18324.252199102,28226.036646590233,10302.395278154207,170460.5934329769,8.0,2,4.2,0.941
CBRE_00002,2024-08-16,2024-08,0.8530213996118455,12.2473557436268,-17697.691512420937,27812.025,10154.863492871407,169267.04166666666,8.2,5,3.0,0.941
CBRE_00002,2024-09-15,2024-09,0.8638975436851795,12.325194824504976,-17594.722908687123,28226.036646590233,11116.49405220084,170460.5934329769,7.2,6,8.2,0.979
CBRE_00002,2024-10-15,2024-10,0.8902839269725661,12.213718813943785,-17709.016935398347,29357.137499999997,14236.462150273857,173721.4375,7.5,15,8.2,0.974
CBRE_00002,2024-11-14,2024-11,0.9215114906298936,12.269932578287342,-17896.769503423402,30902.25,12359.119343142364,178175.83333333334,8.2,7,7.8,0.951
CBRE_00002,2024-12-14,2024-12,0.9400496607122011,12.365038295518637,-18307.726768101875,32447.362500000003,9511.392033543993,182630.22916666666,6.6,9,8.4,0.971
CBRE_00002,2025-01-13,2025-01,0.969275720580301,12.077292559632745,-20082.477033048413,33578.46335340977,13797.21490867834,185891.0732336898,6.9,7,8.9,0.967
CBRE_00002,2025-02-12,2025-02,0.9496826693403378,12.295787507757755,-19917.823762690503,33992.475000000006,12815.640915217245,187084.62500000003,8.9,3,3.2,0.972
CBRE_00002,2025-03-14,2025-03,0.9670062870010302,12.136879917150196,-19255.5125515025,33578.46335340977,11970.411391440455,185891.0732336898,7.7,6,7.8,0.945
CBRE_00002,2025-04-13,2025-04,0.9065756258634676,12.365667660468027,-19590.859475698817,32447.362500000003,11146.088801800333,182630.22916666666,9.0,4,7.4,0.947
CBRE_00002,2025-05-13,2025-05,0.9083817498985111,12.422681863039983,-18252.489921179476,30902.25,12088.067289666456,178175.83333333334,8.0,6,7.9,0.952
CBRE_00002,2025-06-12,2025-06,0.8620384448855589,12.308266261810907,-18138.721769363507,29357.1375,9354.84350845822,173721.43750000003,8.3,1,4.8,0.96
CBRE_00002,2025-07-12,2025-07,0.8458524674276032,12.11461234631077,-17735.458765812953,28226.036646590233,10877.862657407648,170460.5934329769,8.8,6,9.7,0.956
CBRE_00002,2025-08-11,2025-08,0.7961961885478406,12.408542249435214,-18015.89088689985,27812.025,9553.584922172991,169267.04166666666,8.4,7,2.7,0.946
CBRE_00002,2025-09-10,2025-09,0.8560969470640672,12.26202139790767,-17291.586012320597,28226.03664659023,10577.254888031253,170460.5934329769,7.6,7,2.7,0.961
CBRE_00002,2025-10-10,2025-10,0.8652052605076322,12.312721537943125,-16947.14220277758,29357.137499999993,11878.630241523346,173721.4375,8.3,9,6.6,0.971
CBRE_00003,2023-11-20,2023-11,0.8130254363319602,28.819543116315412,117697.08757094864,32749.25,22453.885069779735,125691.91666666667,7.2,6,7.6,0.954
CBRE_00003,2023-12-20,2023-12,0.9004285593007405,28.499132433285762,111987.75998794375,34386.7125,20121.818255036742,128834.21458333333,7.0,2,7.0,0.956
CBRE_00003,2024-01-19,2024-01,0.8850081664970446,28.699604790700164,111756.54662204388,35585.41824548875,19431.495833841276,131134.53631085117,7.7,5,6.3,0.97
CBRE_00003,2024-02-18,2024-02,0.895525674604606,28.64747096600604,114697.93320860433,36024.175,19449.564695555222,131976.5125,6.7,5,6.9,0.971
CBRE_00003,2024-03-19,2024-03,0.8902950408142243,29.135964371411323,114178.55699818922,35585.41824548875,16470.619756533382,131134.53631085117,7.0,3,8.8,0.941
CBRE_00003,2024-04-18,2024-04,0.8520222775794247,28.68473550928784,111055.18490885475,34386.7125,21178.853018496287,128834.21458333333,8.1,3,9.9,0.942
CBRE_00003,2024-05-18,2024-05,0.832395233586147,28.591460055945994,106426.23252172426,32749.25,19807.190043659746,125691.91666666667,7.5,4,7.7,0.966
CBRE_00003,2024-06-17,2024-06,0.8222135020925844,28.426688763209807,112453.11020371791,31111.787500000002,18198.293372341977,122549.61875000001,8.1,5,4.3,0.965
CBRE_00003,2024-07-17,2024-07,0.8274349194372312,28.62031299158763,109081.94935853501,29913.081754511248,21121.29927133528,120249.29702248218,8.6,11,7.7,0.955
CBRE_00003,2024-08-16,2024-08,0.7740080549702145,28.649641317975092,105880.19554347578,29474.325,20742.56136779826,119407.32083333333,6.9,5,5.2,0.985
CBRE_00003,2024-09-15,2024-09,0.8293016356646402,28.65516367854519,106434.22553422242,29913.081754511248,18859.996505847543,120249.29702248218,7.5,8,7.1,0.957
CBRE_00003,2024-10-15,2024-10,0.8205271128718619,28.62817068874017,104601.2919969166,31111.7875,21958.533195024353,122549.61875000001,9.0,6,5.6,0.984
CBRE_00003,2024-11-14,2024-11,0.8648149722522633,28.88586113974855,108305.8057124623,32749.25,19959.89494583894,125691.91666666667,6.7,3,3.1,0.964
CBRE_00003,2024-12-14,2024-12,0.8338949549650552,28.913164290844964,107791.0975982832,34386.7125,18466.220590912984,128834.21458333333,8.7,7,5.2,0.967
CBRE_00003,2025-01-13,2025-01,0.8887304397861229,28.48445187332875,111395.89405224228,35585.41824548875,20880.95979637931,131134.53631085117,8.5,4,9.5,0.973
CBRE_00003,2025-02-12,2025-02,0.8938291707980103,29.140985984888875,117485.24733735503,36024.175,17827.232161524033,131976.5125,8.5,8,8.7,0.978
CBRE_00003,2025-03-14,2025-03,0.9190170697715386,29.16235676772155,115777.91403200339,35585.41824548875,16348.483447042181,131134.53631085117,8.4,7,5.0,0.948
CBRE_00003,2025-04-13,2025-04,0.8373764719136162,29.110599562838505,113214.39899551141,34386.7125,18929.525028922635,128834.21458333333,7.6,7,6.2,0.982
CBRE_00003,2025-05-13,2025-05,0.8317010715892367,29.470044403161086,116623.65034869825,32749.25,16787.48975738427,125691.91666666667,6.9,3,5.4,0.98
CBRE_00003,2025-06-12,2025-06,0.8144267640943681,29.616379440810917,100832.27933737104,31111.787500000002,20407.503948774764,122549.61875000001,8.7,2,5.2,0.985
CBRE_00003,2025-07-12,2025-07,0.8755895360491059,29.197651927315842,112545.88268108158,29913.081754511248,17169.787453161833,120249.29702248218,7.2,2,9.6,0.971
CBRE_00003,2025-08-11,2025-08,0.8053912592070135,28.86660177878783,111227.82683494291,29474.325,19355.62114332608,119407.32083333333,7.6,4,5.1,0.971
CBRE_00003,2025-09-10,2025-09,0.7883078559781569,28.921024988807265,103211.63631691954,29913.081754511244,19242.310468559834,120249.29702248218,7.8,3,5.3,0.985
CBRE_00003,2025-10-10,2025-10,0.8348734045060617,29.402374032296155,109305.2463700049,31111.787499999995,18065.381077551687,122549.61875000001,8.1,1,2.9,0.966
CBRE_00004,2023-11-20,2023-11,0.9204708914617418,8.22331440858731,-22634.50215383991,23058.416666666668,12167.640130839165,161296.41666666666,7.8,1,5.5,0.96
CBRE_00004,2023-12-20,2023-12,0.9525172672567337,7.996522591387722,-23040.61596392027,24211.3375,12195.56339870747,165328.8270833333,8.4,7,9.5,0.944
CBRE_00004,2024-01-19,2024-01,0.9805962885332146,8.22130448084942,-23648.788923346052,25055.334127104652,10155.079697512048,168280.7563853033,8.9,4,3.4,0.966
CBRE_00004,2024-02-18,2024-02,0.9847793606597772,8.200043911603176,-23106.86180997824,25364.258333333335,11178.566726745708,169361.2375,8.1,4,9.1,0.957
CBRE_00004,2024-03-19,2024-03,0.9597378554329243,8.324030436717846,-23337.597250551065,25055.334127104652,10791.828533158467,168280.7563853033,9.0,7,6.2,0.963
CBRE_00004,2024-04-18,2024-04,0.9193153473592846,8.02928807709864,-22279.943003953285,24211.3375,10755.205173528684,165328.8270833333,8.2,8,2.3,0.963
CBRE_00004,2024-05-18,2024-05,0.9295135340244511,8.220633333001517,-23750.741213622223,23058.416666666668,11618.91740238417,161296.41666666666,7.2,7,5.0,0.953
CBRE_00004,2024-06-17,2024-06,0.9323821360925425,8.287741518361575,-23090.13646080698,21905.495833333334,11280.392040065064,157264.00624999998,8.5,7,8.2,0.97
CBRE_00004,2024-07-17,2024-07,0.8686729238802157,8.262203971678817,-22679.243273420492,21061.499206228684,12739.898873932038,154312.07694803,7.9,6,2.1,0.945
CBRE_00004,2024-08-16,2024-08,0.9209167537812538,8.106959229230219,-21234.74781978368,20752.575,11734.602674655518,153231.59583333333,8.3,9,8.6,0.947
CBRE_00004,2024-09-15,2024-09,0.8757655136336706,8.348797074290019,-22361.31958033781,21061.499206228684,9865.581138378471,154312.07694803,8.8,12,9.1,0.944
CBRE_00004,2024-10-15,2024-10,0.9248886308871392,8.2678694455844,-22305.096170269764,21905.495833333334,11919.631438855682,157264.00624999998,8.0,6,6.1,0.967
CBRE_00004,2024-11-14,2024-11,0.93707600656978,8.233662870611024,-23866.855271460285,23058.416666666668,13359.792982897543,161296.41666666666,7.2,2,9.2,0.958
CBRE_00004,2024-12-14,2024-12,0.9476447770904162,8.271334335450835,-23046.04498338294,24211.3375,9572.173548431216,165328.8270833333,8.1,5,2.2,0.961
CBRE_00004,2025-01-13,2025-01,0.9825234256141242,8.26057965697029,-24338.355464357413,25055.334127104652,10976.551991293918,168280.7563853033,7.4,9,6.2,0.98
CBRE_00004,2025-02-12,2025-02,0.99,8.227859083424306,-25413.066104809048,25364.258333333335,12521.848956396552,169361.2375,7.9,2,9.6,0.983
CBRE_00004,2025-03-14,2025-03,0.99,8.261695067892468,-23819.636461216895,25055.334127104652,11968.245351271631,168280.7563853033,6.5,9,4.9,0.987
CBRE_00004,2025-04-13,2025-04,0.9229976760821842,8.45062665430724,-23479.97425756732,24211.3375,10388.642550376824,165328.8270833333,7.7,10,8.1,0.983
CBRE_00004,2025-05-13,2025-05,0.9192610504322695,8.290087627260185,-23745.195821073678,23058.416666666668,11257.08747336478,161296.41666666666,7.0,8,6.8,0.952
CBRE_00004,2025-06-12,2025-06,0.8991559628821646,8.389117215691773,-21389.261279350365,21905.495833333334,10874.140269043037,157264.00625,7.4,9,8.7,0.982
CBRE_00004,2025-07-12,2025-07,0.8725578510923963,8.378304524220114,-23150.035675558505,21061.499206228684,11549.77312787381,154312.07694803,7.7,9,3.6,0.99
CBRE_00004,2025-08-11,2025-08,0.8861643026302831,8.361701051086133,-23743.27930068486,20752.575,11161.551394825638,153231.59583333333,7.5,6,2.3,0.986
CBRE_00004,2025-09-10,2025-09,0.8851972083349314,8.39091251318107,-23174.333354570586,21061.499206228684,10401.616146468543,154312.07694803,6.7,8,5.5,0.955
CBRE_00004,2025-10-10,2025-10,0.890517347555426,8.460593179935513,-23750.327166141415,21905.49583333333,10514.83150260424,157264.00624999998,9.0,4,8.4,0.971
CBRE_00005,2023-11-20,2023-11,0.9462934773954442,7.691479031915276,-19168.04086833365,47803.666666666664,9691.677593928776,189731.75,7.1,4,3.2,0.984
CBRE_00005,2023-12-20,2023-12,0.9749908991825665,7.745226477225158,-20440.851619200315,50193.85,8887.738446579668,194475.04374999998,8.2,5,9.7,0.963
CBRE_00005,2024-01-19,2024-01,0.99,7.687553169224212,-21017.339206301975,51943.58563940434,9256.565715960809,197947.3757702239,7.2,7,9.6,0.959
CBRE_00005,2024-02-18,2024-02,0.99,7.718692383160721,-20394.876196509307,52584.03333333333,7722.67498581506,199218.3375,8.4,4,7.8,0.989
CBRE_00005,2024-03-19,2024-03,0.99,7.747792296800414,-20324.331426039105,51943.58563940434,8442.288349367658,197947.3757702239,7.4,5,7.6,0.946
CBRE_00005,2024-04-18,2024-04,0.99,7.743564048357197,-21648.147247600544,50193.85,10579.363675035534,194475.04374999998,7.6,5,3.7,0.962
CBRE_00005,2024-05-18,2024-05,0.99,7.58894784955085,-21116.512938281732,47803.666666666664,9781.31927237729,189731.75,8.1,5,6.2,0.985
CBRE_00005,2024-06-17,2024-06,0.9039224817166717,7.770317372714395,-19117.41784402152,45413.48333333334,9000.471426308171,184988.45625,8.1,2,5.6,0.949
CBRE_00005,2024-07-17,2024-07,0.9079294451161892,7.790575840884694,-19160.679380229023,43663.74769392899,8280.345157470141,181516.1242297761,8.3,6,6.5,0.945
CBRE_00005,2024-08-16,2024-08,0.914923079007085,7.712456845605901,-19705.122107862946,43023.299999999996,9623.029037400767,180245.1625,8.7,6,3.5,0.965
CBRE_00005,2024-09-15,2024-09,0.9084484485538502,7.883397550823842,-19089.58059457591,43663.74769392899,7241.708295675261,181516.1242297761,6.6,5,2.1,0.967
CBRE_00005,2024-10-15,2024-10,0.942738898790892,7.7070485066083485,-19426.896204427663,45413.48333333333,9780.130085668367,184988.45625,8.5,4,8.7,0.966
CBRE_00005,2024-11-14,2024-11,0.9541048444326219,7.7113796839228375,-20353.205912144396,47803.666666666664,8417.844534465883,189731.75,6.7,6,9.0,0.985
CBRE_00005,2024-12-14,2024-12,0.99,7.804775601851572,-20534.484964812873,50193.85,10360.17602140437,194475.04374999998,8.6,6,7.2,0.944
CBRE_00005,2025-01-13,2025-01,0.99,7.702347382274272,-21858.76430310898,51943.58563940434,8988.155603696596,197947.3757702239,7.1,5,6.6,0.96
CBRE_00005,2025-02-12,2025-02,0.99,7.899288830636875,-21301.242881731137,52584.03333333333,8336.34970649652,199218.3375,7.8,4,3.5,0.985
CBRE_00005,2025-03-14,2025-03,0.99,7.808054923280802,-21127.307258821835,51943.58563940434,8965.3177761818,197947.3757702239,8.8,3,3.1,0.962
CBRE_00005,2025-04-13,2025-04,0.9823069796014692,7.743774910171712,-21475.333487046406,50193.85,8057.434391013486,194475.04374999998,7.5,3,7.7,0.983
CBRE_00005,2025-05-13,2025-05,0.9774892688867711,7.817452044915553,-20227.82331149816,47803.666666666664,9721.472634806636,189731.75,8.5,0,7.4,0.962
CBRE_00005,2025-06-12,2025-06,0.9491137187833603,7.7837699637873445,-20081.151253869564,45413.48333333334,9819.81918312451,184988.45625000002,6.6,6,7.4,0.944
CBRE_00005,2025-07-12,2025-07,0.9045717802906036,7.8263374487898325,-19918.652794931553,43663.74769392899,9633.723135870729,181516.1242297761,7.0,4,7.7,0.948
CBRE_00005,2025-08-11,2025-08,0.8917394910325502,7.762048058027823,-19031.103714494457,43023.299999999996,11297.294847249126,180245.1625,8.1,3,6.1,0.982
CBRE_00005,2025-09-10,2025-09,0.8632222427155875,7.808814879510112,-20327.217429014872,43663.74769392899,8614.171615846064,181516.1242297761,9.0,3,2.0,0.956
CBRE_00005,2025-10-10,2025-10,0.9649474120224423,7.814607538353418,-19690.52207872718,45413.48333333332,8674.007884058788,184988.45625,8.0,3,9.4,0.949
CBRE_00006,2023-11-20,2023-11,0.8331660107213464,36.21168442005439,217572.00071318803,35059.25,17813.101110967822,105483.41666666667,8.3,11,6.4,0.98
CBRE_00006,2023-12-20,2023-12,0.8740492862961382,36.55480902522449,214758.32066673532,36812.2125,21771.356983266312,108120.50208333333,8.7,5,8.6,0.982
CBRE_00006,2024-01-19,2024-01,0.8697378885735101,36.824247370232186,215059.59426215893,38095.47011376296,16788.132988912264,110050.98259223228,7.3,4,6.4,0.968
CBRE_00006,2024-02-18,2024-02,0.86456056602477,36.28922101270614,214303.67821034993,38565.175,21881.041785546793,110757.58750000001,8.3,7,4.6,0.971
CBRE_00006,2024-03-19,2024-03,0.8546802228115322,36.63960212947526,218018.4140123706,38095.47011376296,16429.38018646038,110050.98259223228,7.6,9,4.5,0.948
CBRE_00006,2024-04-18,2024-04,0.8505348628863963,36.5680915179441,210200.45206572543,36812.2125,17731.990332060417,108120.50208333333,6.6,2,5.7,0.988
CBRE_00006,2024-05-18,2024-05,0.8138828330619929,37.35839925614438,203258.40134991345,35059.25,15313.848878998137,105483.41666666667,6.5,14,9.0,0.96
CBRE_00006,2024-06-17,2024-06,0.792903279670405,36.84780305232811,196452.91052766642,33306.287500000006,17699.745870776424,102846.33125,7.4,7,6.8,0.964
CBRE_00006,2024-07-17,2024-07,0.8061028409949171,36.36944117063444,201554.31571982164,32023.029886237044,17123.46753931996,100915.85074110107,7.9,13,9.6,0.973
CBRE_00006,2024-08-16,2024-08,0.7906381278860737,36.88642986809141,196721.84791953358,31553.325,18923.556100005444,100209.24583333333,8.1,7,4.7,0.975
CBRE_00006,2024-09-15,2024-09,0.8156583311658143,37.36577053179765,191942.62724770303,32023.029886237044,18419.796075895712,100915.85074110107,7.3,9,3.2,0.984
CBRE_00006,2024-10-15,2024-10,0.7785680355675095,36.98385176558145,205019.97210053328,33306.2875,16257.317346947942,102846.33125,8.4,9,7.3,0.979
CBRE_00006,2024-11-14,2024-11,0.8474777552681791,37.08611247999175,206573.12499404806,35059.25,16730.594841320875,105483.41666666667,8.6,9,6.8,0.947
CBRE_00006,2024-12-14,2024-12,0.8451160035309726,36.78527194792962,204761.5521272301,36812.2125,17238.780196475644,108120.50208333333,6.9,4,6.0,0.961
CBRE_00006,2025-01-13,2025-01,0.8634581973353406,37.11025000434574,203106.29436409223,38095.47011376296,18035.407433633864,110050.98259223228,6.7,7,3.8,0.962
CBRE_00006,2025-02-12,2025-02,0.8689433416462768,36.839070455220586,209385.10209725832,38565.175,18450.81752649709,110757.58750000001,6.9,7,3.3,0.953
CBRE_00006,2025-03-14,2025-03,0.8797013493220951,37.318488665963514,213088.78023382777,38095.47011376296,18447.457601610342,110050.98259223228,7.7,9,6.4,0.953
CBRE_00006,2025-04-13,2025-04,0.8621305470448908,37.071013759970896,217218.7478212014,36812.2125,18013.357109627803,108120.50208333333,8.2,11,4.0,0.976
CBRE_00006,2025-05-13,2025-05,0.8138513630618646,37.70206531559512,198272.84362097832,35059.25,19065.550173026037,105483.41666666667,8.9,11,8.4,0.978
CBRE_00006,2025-06-12,2025-06,0.8164588285084194,36.82575959377447,204289.7579702742,33306.287500000006,13032.1079905154,102846.33125000002,6.5,8,6.6,0.967
CBRE_00006,2025-07-12,2025-07,0.789649913114579,37.27289087662379,200112.03950836032,32023.029886237044,16392.357433592893,100915.85074110107,6.9,8,2.9,0.981
CBRE_00006,2025-08-11,2025-08,0.7576812039242562,37.3881685500572,203477.221659072,31553.325,15441.504899850508,100209.24583333333,8.2,17,5.6,0.943
CBRE_00006,2025-09-10,2025-09,0.7500842369244762,36.80414552311871,195184.62107621576,32023.02988623704,19664.51512168867,100915.85074110107,8.8,7,5.7,0.988
CBRE_00006,2025-10-10,2025-10,0.8339142611238439,36.60218601031665,193447.81709223377,33306.28749999999,17669.516831651585,102846.33125,8.5,8,8.0,0.969
CBRE_00007,2023-11-20,2023-11,0.8825234710933095,30.131370850241805,50732.37185634346,11110.583333333334,12636.276634139242,37757.0,6.9,10,3.3,0.983
CBRE_00007,2023-12-20,2023-12,0.9008366096073569,30.21066107592756,51752.65417726626,11666.112500000001,12589.012146276355,38700.924999999996,7.2,6,3.5,0.968
CBRE_00007,2024-01-19,2024-01,0.8852101273283819,30.21282216482204,51064.047226321425,12072.788075086399,12653.642168377062,39391.92605853445,8.4,12,9.6,0.982
CBRE_00007,2024-02-18,2024-02,0.9502998961741257,29.954107778127057,52568.39156902176,12221.641666666668,10966.317206147914,39644.85,7.7,6,8.0,0.962
CBRE_00007,2024-03-19,2024-03,0.9086254388240297,30.32879374903645,52696.408430627416,12072.788075086399,13148.410802426051,39391.92605853445,8.3,11,9.4,0.973
CBRE_00007,2024-04-18,2024-04,0.9191395251834791,29.978656116725098,51716.36528606465,11666.112500000001,9662.53412572357,38700.924999999996,7.3,13,10.0,0.943
CBRE_00007,2024-05-18,2024-05,0.8502577952272652,30.698523899894194,49222.705209187676,11110.583333333334,10713.004208492855,37757.0,7.4,10,3.3,0.955
CBRE_00007,2024-06-17,2024-06,0.8498820360093567,30.779713027348986,50116.92617329325,10555.054166666669,13091.838748866541,36813.075,7.7,11,6.2,0.961
CBRE_00007,2024-07-17,2024-07,0.8173149235013756,30.205479684200075,47930.241366376074,10148.37859158027,11771.01392062078,36122.07394146555,8.5,11,5.7,0.986
CBRE_00007,2024-08-16,2024-08,0.8156634062727187,30.87225514304595,46880.83478060897,9999.525000000001,12264.631877052123,35869.15,7.7,5,6.5,0.969
CBRE_00007,2024-09-15,2024-09,0.822451314853491,30.647178235443043,45938.65597488644,10148.37859158027,11647.229784880965,36122.07394146555,6.9,10,3.4,0.96
CBRE_00007,2024-10-15,2024-10,0.8192503827842288,30.644032516349704,48376.18082571648,10555.054166666667,11990.92397580167,36813.075,8.4,7,7.8,0.949
CBRE_00007,2024-11-14,2024-11,0.8456094335739148,30.825020149899895,49966.689467077296,11110.583333333334,13434.95720849149,37757.0,8.1,3,7.2,0.976
CBRE_00007,2024-12-14,2024-12,0.895669778695083,30.76564656588777,51284.212656095144,11666.112500000001,12095.65901592065,38700.924999999996,7.4,11,4.4,0.947
CBRE_00007,2025-01-13,2025-01,0.9141828285927445,30.880940017309126,52984.290097368284,12072.788075086399,10755.392472743297,39391.92605853445,8.3,4,8.0,0.971
CBRE_00007,2025-02-12,2025-02,0.955653204321278,30.84009374336633,49646.2770607706,12221.641666666668,11394.628762705732,39644.85,7.3,8,8.3,0.969
CBRE_00007,2025-03-14,2025-03,0.9112857080776026,30.539064123500687,54684.44223420058,12072.788075086399,9774.45584508605,39391.92605853445,6.6,4,4.4,0.967
CBRE_00007,2025-04-13,2025-04,0.8888719207920491,30.067742646323318,52990.536221079405,11666.112500000001,12491.536709602111,38700.924999999996,8.1,5,2.4,0.96
CBRE_00007,2025-05-13,2025-05,0.8503860658062868,31.139961375221677,51989.516505614825,11110.583333333334,13069.911368300058,37757.0,7.4,11,7.2,0.988
CBRE_00007,2025-06-12,2025-06,0.8124387586852566,30.319928438732106,50424.574319017236,10555.054166666669,12552.706070548209,36813.075000000004,8.0,13,7.3,0.961
CBRE_00007,2025-07-12,2025-07,0.8434057599636575,30.817926638536225,49721.8804921966,10148.37859158027,11826.212910997334,36122.07394146555,8.4,19,7.9,0.952
CBRE_00007,2025-08-11,2025-08,0.7742376188310565,30.599994845978348,48636.65051903502,9999.525000000001,11658.464338855694,35869.15,6.7,3,6.1,0.968
CBRE_00007,2025-09-10,2025-09,0.8333241592447554,30.952303857110866,48765.37886722605,10148.378591580267,8719.979945656749,36122.07394146555,7.9,4,8.3,0.958
CBRE_00007,2025-10-10,2025-10,0.8206201030059659,30.531525190610477,50178.61444978601,10555.054166666665,11358.138679090287,36813.075,7.0,10,3.3,0.946
CBRE_00008,2023-11-20,2023-11,0.8663854767684732,24.80446404223251,51849.82691605605,20673.083333333332,11470.039000072216,73382.83333333333,8.7,8,3.0,0.952
