property_id,property_name,address,city,state,zip_code,market,submarket,property_type,building_class,total_sqft,rentable_sqft,num_floors,year_built,building_age,last_renovated,parking_spaces,parking_ratio,property_value,value_per_sqft,noi_annual,noi_per_sqft,cap_rate,base_rent_psf,effective_rent_psf,potential_rental_income,effective_rental_income,occupancy_rate,occupied_sqft,vacant_sqft,market_vacancy_rate,opex_total_annual,opex_per_sqft,property_tax_annual,insurance_annual,utilities_annual,maintenance_annual,management_fee_annual,cam_annual,num_tenants,walt_years,walt_months,lease_expiry_next_12mo_sqft,avg_tenant_size_sqft,largest_tenant_sqft,tenant_concentration_risk,loan_amount,loan_to_value,debt_service_coverage_ratio,debt_yield,leed_certified,leed_level,energy_star_score,energy_star_certified,annual_energy_use_kbtu,energy_cost_annual,energy_cost_psf,water_usage_gallons,water_cost_annual,waste_diversion_rate,ghg_emissions_mtco2e,market_tier,market_rent_growth_yoy,market_cap_rate,market_absorption_sf,maintenance_risk_score,tenant_risk_score,market_risk_score,esg_risk_score,management_company,acquisition_date,last_appraisal_date,last_inspection_date
CBRE_00011,Retail at Austin - 011,6831 Main Ave,Austin,TX,58136,Austin,Austin_Zone_2,Retail,B,64680,59506,1,1978,46,1999.0,128,2.97,14325052.88,221.47,931128.44,14.4,0.065,28.86,25.97,1866710.97,1738737.27,0.95,61476,3205,0.048,807608.83,12.49,170638.96,50004.3,198089.9,68120.0,70968.87,249786.81,7,7.83,94.0,8261,8782,10514,0.568,10695942.48,0.594,1.47,0.113,False,,45,False,3660085,256911,3.51,1011854,16177,0.14,459.79,1,0.043,0.065,54641,0.69,0.06,0.43,0.64,Cushman & Wakefield,2020-02-25,2024-06-14,2023-02-08
CBRE_00012,Industrial at Austin - 012,4275 Market St,Austin,TX,71642,Austin,Austin_Zone_4,Industrial,B,177750,163530,2,1981,43,2022.0,708,3.98,-10322746.59,-58.07,-567751.06,-3.19,0.055,10.18,9.16,1809576.62,1616880.98,0.912,162063,15687,0.081,2184632.04,12.29,753327.96,105171.83,608676.96,194389.79,65995.14,457070.36,2,2.96,35.5,53325,81032,63582,0.025,-6780904.05,0.646,1.92,0.082,False,,47,False,5676173,693371,3.78,2992393,101687,0.11,908.22,1,0.034,0.055,69185,0.67,0.33,0.44,0.64,Colliers,2022-07-08,2023-11-12,2023-06-27
CBRE_00013,Industrial at New York - 013,2293 Commerce Ave,New York,NY,18415,New York,New York_Zone_1,Industrial,B,107065,98500,1,2005,19,2020.0,214,3.0,4319088.86,40.34,207316.27,1.94,0.048,16.97,15.27,1817049.7,1691837.74,0.95,101722,5343,0.042,1484521.48,13.87,434062.59,40824.82,355654.63,167413.84,69054.6,417511.0,4,2.72,32.6,32120,25430,24944,0.279,2454761.79,0.514,1.89,0.113,False,,45,False,4496311,427540,3.11,2305626,82104,0.33,792.13,1,0.019,0.048,28648,0.52,0.25,0.5,0.57,Cushman & Wakefield,2016-12-17,2024-03-21,2024-03-24
CBRE_00014,Multifamily at Los Angeles - 014,3474 Market Blvd,Los Angeles,CA,25254,Los Angeles,Los Angeles_Zone_5,Multifamily,B,90729,83470,10,1972,52,1997.0,270,2.98,26076996.33,287.42,1535935.08,16.93,0.0589,35.98,32.38,3264432.28,2768693.56,0.865,78521,12208,0.136,1232758.48,13.59,407744.78,41180.69,284232.02,189093.55,113007.9,197499.54,90,0.88,10.5,27219,872,27581,0.231,17188941.08,0.639,1.23,0.109,False,,51,False,3882921,263278,3.82,1312788,46649,0.14,616.1,1,0.029,0.0589,74243,0.83,0.32,0.52,0.62,CBRE,2020-02-19,2023-03-10,2024-06-29
CBRE_00015,Retail at Houston - 015,771 Market Ave,Houston,TX,85697,Houston,Houston_Zone_5,Retail,B,42119,38749,2,2010,14,2017.0,168,1.99,4329969.62,102.8,303097.87,7.2,0.07,17.98,16.18,757293.63,707844.12,0.954,40172,1947,0.062,404746.25,9.61,100522.89,15332.29,75974.5,45800.92,28891.6,138224.05,6,3.1,37.1,12636,6695,7722,0.229,2559304.17,0.626,1.74,0.082,False,,57,False,2263841,137131,2.16,973104,31696,0.25,178.77,1,0.024,0.07,29295,0.44,0.2,0.48,0.56,Colliers,2016-09-16,2023-09-10,2024-11-22
CBRE_00016,Office at Chicago - 016,6982 Park Ave,Chicago,IL,44674,Chicago,Chicago_Zone_1,Office,B,134354,123605,25,2005,19,2016.0,268,2.99,30453309.27,226.67,2131731.65,15.87,0.07,34.12,30.71,4583733.69,3826253.36,0.852,114440,19914,0.201,1694521.71,12.61,328254.9,49248.43,386176.56,304533.94,156173.61,470134.28,11,1.39,16.7,40306,10404,33301,0.065,17930179.93,0.662,1.56,0.103,False,,62,False,8089440,418576,3.17,2481091,57404,0.23,718.76,1,0.022,0.07,21696,0.44,0.32,0.56,0.55,Cushman & Wakefield,2020-06-12,2024-01-12,2023-10-16
CBRE_00017,Office at Dallas - 017,217 Market St,Dallas,TX,94471,Dallas,Dallas_Zone_3,Office,A,89885,82694,8,1990,34,2019.0,267,3.96,19600298.44,218.06,1411221.49,15.7,0.072,33.28,29.95,2991236.53,2474426.63,0.844,75873,14012,0.192,1063205.14,11.83,256647.42,34757.35,296039.11,100702.75,100997.01,274061.5,10,2.83,33.9,26966,7587,21530,0.291,13283869.41,0.55,1.78,0.101,False,,48,False,5353468,317794,2.17,1581218,68241,0.1,474.82,1,0.037,0.072,59891,0.42,0.23,0.5,0.64,Cushman & Wakefield,2020-08-01,2023-01-10,2023-09-18
CBRE_00018,Office at Chicago - 018,8667 Commerce St,Chicago,IL,80792,Chicago,Chicago_Zone_2,Office,C,100157,92145,3,1982,42,1998.0,400,3.99,6082322.17,60.73,425762.55,4.25,0.07,20.42,18.38,2045164.25,1694054.39,0.845,84656,15502,0.201,1268291.84,12.66,342487.82,60399.97,309343.79,116187.39,69145.08,370727.81,7,4.11,49.3,24398,12094,32306,0.303,4295841.78,0.547,1.35,0.105,False,,42,False,6407370,263653,3.18,2027658,47191,0.14,686.59,1,0.022,0.07,64158,0.8,0.16,0.56,0.65,JLL,2017-09-19,2024-10-26,2023-05-25
CBRE_00019,Mixed Use at Los Angeles - 019,1220 Market Way,Los Angeles,CA,54028,Los Angeles,Los Angeles_Zone_5,Mixed Use,B,187296,172312,18,1976,48,2007.0,748,2.0,49085226.7,262.07,2891119.85,15.44,0.0589,33.07,29.77,6194521.77,5220686.13,0.86,161073,26223,0.136,2329566.28,12.44,617061.72,87356.22,554601.18,420410.46,213089.23,437047.47,43,3.75,45.0,49916,3746,25511,0.219,34620513.59,0.528,1.87,0.085,False,,38,False,8980035,673252,2.3,2517025,118624,0.4,1288.62,1,0.027,0.0589,56673,0.79,0.14,0.52,0.57,Colliers,2017-03-04,2023-10-10,2023-03-10
CBRE_00020,Mixed Use at Miami - 020,3976 Market Ave,Miami,FL,10126,Miami,Miami_Zone_2,Mixed Use,C,68778,63275,27,2002,22,2023.0,272,2.97,18570922.26,270.01,1146754.45,16.67,0.0617,33.0,29.7,2269986.7,2049454.41,0.921,63363,5415,0.099,902699.96,13.12,258513.29,38030.13,187274.85,77710.45,83651.2,257520.03,4,4.2,50.4,16387,15841,10596,0.255,13173705.21,0.583,1.41,0.089,True,Gold,63,False,3587289,189730,3.49,899864,46265,0.8,441.2,1,0.029,0.0617,71036,0.72,0.16,0.48,0.19,Newmark,2023-12-26,2024-04-19,2024-02-22
CBRE_00021,Data Center at Chicago - 021,1859 Business Blvd,Chicago,IL,51949,Chicago,Chicago_Zone_3,Data Center,B,45053,41448,3,2001,23,2022.0,90,2.0,4218030.76,93.62,280499.05,6.23,0.0665,22.84,20.56,1029082.69,894156.6,0.887,39945,5108,0.141,613657.55,13.62,157463.65,22952.64,150011.42,104314.28,36496.19,142419.37,3,7.71,92.5,5847,13315,10706,0.068,2531623.11,0.64,1.28,0.087,False,,52,False,7735861,175355,2.75,633493,26419,0.25,253.87,1,0.013,0.0665,-3187,0.41,0.15,0.55,0.58,JLL,2018-04-16,2024-01-26,2023-12-15
CBRE_00022,Industrial at Houston - 022,4525 Park Way,Houston,TX,26032,Houston,Houston_Zone_5,Industrial,B,89179,82045,1,1972,52,1995.0,178,3.99,-3763399.04,-42.2,-225803.94,-2.53,0.06,6.83,6.15,609053.42,548277.08,0.919,81918,7261,0.069,774081.02,8.68,226125.59,55859.39,176250.52,71736.88,22378.66,221729.98,4,2.62,31.4,26754,20480,24228,0.285,-2437078.37,0.567,1.68,0.096,False,,50,False,3186250,256145,2.59,2160524,58694,0.13,406.7,1,0.034,0.06,33674,0.75,0.27,0.49,0.62,CBRE,2015-05-08,2024-12-21,2023-04-25
CBRE_00023,Retail at Dallas - 023,7284 Main Ave,Dallas,TX,32180,Dallas,Dallas_Zone_1,Retail,B,29114,26785,1,1982,42,1998.0,116,1.99,4457368.37,153.1,303101.05,10.41,0.068,24.21,21.79,704864.4,642624.36,0.93,27085,2029,0.054,339523.31,11.66,104142.65,11233.32,59526.81,26925.38,26229.57,111465.59,6,2.64,31.7,8734,4514,4137,0.221,2424107.78,0.729,1.51,0.095,False,,38,False,1408044,60963,2.33,613446,7269,0.25,186.7,1,0.03,0.068,19520,0.63,0.24,0.46,0.62,JLL,2018-02-10,2023-07-06,2023-08-15
CBRE_00024,Data Center at Chicago - 024,5236 Park St,Chicago,IL,64912,Chicago,Chicago_Zone_1,Data Center,B,34031,31309,2,1982,42,2011.0,136,4.0,3348916.67,98.41,222702.96,6.54,0.0665,25.48,22.93,866953.4,746576.59,0.879,29904,4127,0.141,523873.63,15.39,123176.96,12966.13,108323.39,115856.48,30472.51,133078.15,2,3.86,46.3,8818,14952,10609,0.715,1976676.21,0.523,1.93,0.085,False,,43,False,6024010,98419,2.37,616935,24631,0.12,235.8,1,0.021,0.0665,68590,0.71,0.28,0.55,0.65,Colliers,2021-08-18,2024-12-10,2023-07-19
CBRE_00025,Office at Chicago - 025,4597 Business Plaza,Chicago,IL,27850,Chicago,Chicago_Zone_2,Office,B,85740,78881,25,2006,18,2017.0,170,2.97,19090081.42,222.65,1336305.7,15.59,0.07,31.74,28.57,2721643.6,2191299.53,0.822,70442,15299,0.201,854993.83,9.97,202481.89,57061.29,161637.74,100566.95,89440.8,243805.16,9,4.17,50.1,20548,7827,21067,0.224,11167100.89,0.681,1.21,0.093,False,,64,False,4790217,307075,2.64,1662368,62727,0.35,554.18,1,0.015,0.07,64268,0.48,0.15,0.56,0.5,Cushman & Wakefield,2023-07-08,2023-01-29,2024-04-21
CBRE_00026,Office at Dallas - 026,8996 Park Blvd,Dallas,TX,45400,Dallas,Dallas_Zone_1,Office,B,76175,70081,18,2020,4,,152,3.99,14307717.95,187.83,1030155.69,13.52,0.072,32.64,29.38,2486283.29,1893436.51,0.777,59196,16980,0.192,863280.82,11.33,247821.55,38901.15,226634.44,103458.86,77283.12,169181.69,4,2.41,28.9,22853,14799,22938,0.13,10533098.8,0.617,1.67,0.087,True,Gold,94,True,5012778,187646,3.89,1504061,43012,0.28,460.92,1,0.029,0.072,33488,0.25,0.33,0.5,0.26,CBRE,2021-03-15,2024-05-20,2023-09-16
CBRE_00027,Mixed Use at New York - 027,4775 Commerce Plaza,New York,NY,44701,New York,New York_Zone_5,Mixed Use,C,66279,60977,13,2022,2,,198,3.98,39036044.76,588.97,2039633.34,30.77,0.0522,49.96,44.96,3311196.19,2938030.18,0.905,60010,6269,0.118,898396.84,13.55,211345.17,45011.26,191681.23,89736.84,119919.6,240702.75,8,1.82,21.8,19884,7501,22165,0.204,27931535.44,0.702,1.71,0.102,False,,69,False,2766463,186701,2.75,921032,42024,0.11,396.58,1,0.016,0.0522,63895,0.35,0.29,0.53,0.57,JLL,2016-08-15,2023-04-24,2023-02-09
CBRE_00028,Mixed Use at Austin - 028,4386 Park Plaza,Austin,TX,79274,Austin,Austin_Zone_4,Mixed Use,B,72871,67041,23,2018,6,,288,1.98,13962504.61,191.61,901977.8,12.38,0.0646,32.64,29.37,2378403.8,1937159.53,0.831,60563,12308,0.153,1035181.73,14.21,269418.59,31590.64,237359.99,176038.48,79067.74,241706.29,8,3.54,42.5,20572,7570,22422,0.415,7542405.0,0.704,1.86,0.1,False,,65,False,2924149,187576,3.23,1801212,42199,0.17,367.21,1,0.045,0.0646,33329,0.31,0.2,0.47,0.56,JLL,2016-11-05,2023-11-22,2024-04-11
CBRE_00029,Multifamily at Houston - 029,6453 Market Plaza,Houston,TX,77889,Houston,Houston_Zone_5,Multifamily,B,92141,84770,17,2022,2,,368,3.99,4600769.53,49.93,327804.83,3.56,0.0712,18.5,16.65,1704225.03,1339562.17,0.802,73903,18238,0.157,1011757.34,10.98,374429.98,30767.63,193673.95,161515.98,54676.01,196693.79,92,0.66,7.9,27642,803,22067,0.213,2301568.86,0.54,1.55,0.118,True,Certified,90,True,3254135,341698,3.05,2062930,34924,0.28,678.14,1,0.033,0.0712,40861,0.24,0.36,0.51,0.27,Newmark,2019-04-12,2024-12-07,2024-01-17
CBRE_00030,Office at Los Angeles - 030,6735 Business St,Los Angeles,CA,28639,Los Angeles,Los Angeles_Zone_3,Office,B,72135,66364,22,1998,26,2010.0,216,2.0,23496438.51,325.73,1456779.19,20.2,0.062,41.95,37.76,3026210.86,2219444.6,0.748,53984,18151,0.195,762665.41,10.57,232852.71,53888.6,141378.53,95193.78,90589.58,148762.21,9,3.32,39.8,21641,5998,19821,0.301,15426706.07,0.533,1.18,0.117,False,,56,False,4152560,259187,2.96,848283,19845,0.27,486.35,1,0.024,0.062,49197,0.42,0.23,0.54,0.56,CBRE,2017-10-10,2024-05-15,2023-04-27
CBRE_00031,Retail at Los Angeles - 031,6831 Commerce Ave,Los Angeles,CA,62269,Los Angeles,Los Angeles_Zone_4,Retail,B,16384,15074,1,1983,41,2007.0,32,2.93,5779340.1,352.73,335201.73,20.46,0.058,37.6,33.84,615998.53,558183.76,0.925,15150,1235,0.068,222982.03,13.61,52211.42,12900.33,48232.28,29277.92,22783.01,57577.07,1,7.49,89.9,2187,15150,15150,0.245,4080956.82,0.589,1.42,0.119,False,,53,False,692351,55484,3.64,173967,9867,0.13,127.9,1,0.019,0.058,51832,0.76,0.36,0.49,0.61,CBRE,2020-08-18,2023-03-14,2023-12-25
CBRE_00032,Retail at San Antonio - 032,7279 Main Way,San Antonio,TX,20326,San Antonio,San Antonio_Zone_4,Retail,B,70304,64680,3,2017,7,,140,1.99,2657900.07,37.81,191368.8,2.72,0.072,16.39,14.75,1152151.32,1048106.49,0.928,65260,5044,0.058,856737.69,12.19,256101.6,49820.81,169055.44,124355.72,42779.86,214624.26,9,6.23,74.7,11289,7251,24012,0.154,1659988.64,0.639,1.76,0.089,False,,65,False,4044559,277671,3.3,913469,42754,0.32,301.52,2,0.022,0.072,44852,0.37,0.06,0.36,0.51,CBRE,2015-06-08,2023-01-24,2024-02-08
CBRE_00033,Retail at Houston - 033,4832 Business Plaza,Houston,TX,58364,Houston,Houston_Zone_2,Retail,B,11628,10698,2,2024,0,,22,3.78,348177.6,29.94,24372.43,2.1,0.07,16.81,15.13,195467.83,177066.39,0.924,10749,880,0.062,152693.96,13.13,43443.7,6038.68,34309.53,18105.33,7227.2,43569.52,1,7.19,86.2,1618,10749,10749,0.217,229147.91,0.593,1.59,0.097,True,Silver,100,True,461962,33424,2.19,186929,6462,0.42,73.46,1,0.031,0.07,77766,0.21,0.36,0.48,0.19,Cushman & Wakefield,2023-10-22,2023-01-28,2023-03-07
CBRE_00034,Mixed Use at Chicago - 034,7215 Market Blvd,Chicago,IL,98576,Chicago,Chicago_Zone_1,Mixed Use,A,170087,156480,8,2023,1,,510,2.0,42809844.63,251.69,2846854.67,16.74,0.0665,32.82,29.54,5582016.3,4822588.38,0.882,149946,20141,0.141,1975733.72,11.62,377676.06,65462.83,431943.55,281673.12,196840.34,622137.81,36,2.43,29.1,51026,4165,45191,0.634,26182165.42,0.716,1.62,0.102,False,,94,True,6919769,675820,2.25,2290553,39293,0.28,1115.77,1,0.015,0.0665,53819,0.12,0.22,0.55,0.43,Colliers,2015-10-03,2024-11-23,2023-08-30
CBRE_00035,Medical Office at Los Angeles - 035,6912 Business Plaza,Los Angeles,CA,23669,Los Angeles,Los Angeles_Zone_5,Medical Office,A,26582,24455,3,1994,30,2013.0,78,3.91,14951828.55,562.49,880662.7,33.13,0.0589,53.44,48.1,1420579.05,1193002.33,0.857,22779,3803,0.136,312339.63,11.75,73436.15,14908.66,58088.85,57364.08,48693.97,59847.91,1,2.52,30.2,7974,22779,22779,0.344,10723843.86,0.643,1.18,0.117,False,,55,False,1858787,89129,2.43,528528,11598,0.32,175.57,1,0.019,0.0589,90068,0.43,0.55,0.52,0.54,Colliers,2017-10-06,2024-12-04,2024-07-28
CBRE_00036,Medical Office at Austin - 036,1467 Market Ave,Austin,TX,61924,Austin,Austin_Zone_1,Medical Office,B,44820,41235,6,1992,32,2008.0,132,3.93,6690799.7,149.28,432225.66,9.64,0.0646,30.19,27.17,1353102.63,1105412.82,0.834,37363,7457,0.153,673187.16,15.02,192529.1,34190.65,106508.62,126504.39,45118.89,168335.51,5,3.42,41.0,13119,7473,10867,0.689,4088780.23,0.504,1.65,0.087,False,,47,False,3079471,157709,3.0,812838,34551,0.35,331.16,1,0.052,0.0646,51792,0.51,0.23,0.47,0.56,CBRE,2019-10-30,2023-02-12,2023-12-09
CBRE_00037,Mixed Use at Los Angeles - 037,3710 Main Plaza,Los Angeles,CA,52652,Los Angeles,Los Angeles_Zone_4,Mixed Use,B,68651,63159,15,1971,53,2010.0,204,2.97,19075053.99,277.85,1123520.68,16.37,0.0589,32.71,29.44,2245883.32,1989300.11,0.904,62049,6602,0.136,865779.43,12.61,270652.19,51420.81,136407.52,180525.7,81195.92,145577.28,4,4.13,49.5,16642,15512,20416,0.318,12785616.95,0.545,1.6,0.108,False,,38,False,2892793,215196,2.51,1678104,33648,0.18,495.93,1,0.026,0.0589,45507,0.61,0.17,0.52,0.65,Newmark,2018-10-17,2024-07-12,2023-05-21
CBRE_00038,Retail at San Antonio - 038,3373 Main St,San Antonio,TX,98920,San Antonio,San Antonio_Zone_2,Retail,C,39321,36175,1,2010,14,2017.0,117,1.98,-311414.85,-7.92,-22421.87,-0.57,0.072,12.69,11.42,499003.28,463029.24,0.947,37231,2090,0.058,485451.11,12.35,185504.41,26933.91,102756.98,48959.6,18899.15,102397.07,4,6.35,76.3,6188,9308,9531,0.247,-197387.04,0.545,1.42,0.089,False,,48,False,1665596,128813,2.51,765985,9243,0.23,179.58,2,0.027,0.072,83446,0.53,0.1,0.36,0.6,CBRE,2022-05-08,2023-06-16,2024-04-03
CBRE_00039,Medical Office at San Antonio - 039,3813 Main Blvd,San Antonio,TX,80587,San Antonio,San Antonio_Zone_5,Medical Office,A,53844,49536,4,2008,16,2023.0,106,2.95,4847504.99,90.03,359200.12,6.67,0.0741,23.74,21.37,1278318.44,1082665.94,0.864,46534,7310,0.109,723465.82,13.44,232491.22,23284.71,150255.92,122352.44,44190.45,150891.08,9,3.81,45.8,14122,5170,13876,0.08,2487180.73,0.595,1.46,0.12,True,Certified,92,True,3424755,143609,3.16,610134,41837,0.56,352.13,2,0.036,0.0741,19239,0.23,0.16,0.39,0.17,Newmark,2022-04-19,2024-03-21,2024-10-31
CBRE_00040,Retail at San Antonio - 040,4995 Business Ave,San Antonio,TX,86559,San Antonio,San Antonio_Zone_4,Retail,C,71280,65578,3,2022,2,,213,2.99,-412915.36,-5.79,-29729.91,-0.42,0.072,12.94,11.65,922581.01,854857.78,0.946,67396,3884,0.058,884587.68,12.41,175153.11,56756.26,239073.89,116111.3,34892.15,262600.96,3,5.09,61.1,14007,22465,11173,0.256,-242208.07,0.56,1.58,0.113,True,Silver,85,True,3119956,276907,3.75,885761,47884,0.4,448.95,2,0.032,0.072,50522,0.4,0.13,0.36,0.25,Newmark,2022-06-18,2024-08-16,2024-03-04
CBRE_00041,Industrial at Miami - 041,5017 Business Way,Miami,FL,83965,Miami,Miami_Zone_5,Industrial,C,21258,19558,2,2014,10,,84,3.95,-1023432.6,-48.14,-53218.5,-2.5,0.052,8.03,7.23,170734.86,161091.91,0.963,20467,791,0.045,214310.41,10.08,94731.27,9805.68,32860.79,18313.6,6575.18,52023.88,4,3.36,40.3,6336,5117,5110,0.303,-546299.7,0.741,1.62,0.119,True,Silver,83,True,723950,55774,3.01,352732,5599,0.33,139.52,1,0.032,0.052,80615,0.43,0.21,0.44,0.28,CBRE,2023-05-17,2024-05-31,2024-04-11
