tenant_id,property_id,tenant_name,industry,credit_rating,lease_sqft,lease_start_date,lease_end_date,lease_term_years,base_rent_psf,annual_rent,rent_escalation_rate,security_deposit,renewal_probability,payment_history_score,tenant_improvements_cost
T_00094,CBRE_00014,Non-Profit Corp 94,Legal,AAA,766,2021-06-10,2031-06-08,10,36.97055303081413,26492,0.029,55112,0.91,1.0,22869
T_00095,CBRE_00014,Government Corp 95,Non-Profit,CCC,829,2022-10-15,2027-10-14,5,38.80410947682893,27609,0.026,59649,0.69,0.94,43197
T_00096,CBRE_00014,Manufacturing Corp 96,Manufacturing,AA,721,2023-12-17,2028-12-15,5,33.897359251911396,27189,0.023,51871,0.68,0.91,16496
T_00097,CBRE_00014,Technology Corp 97,Legal,A,408,2020-12-20,2027-12-19,7,33.90052205733429,14848,0.028,29354,0.92,0.98,16045
T_00098,CBRE_00014,Legal Corp 98,Consulting,BBB,492,2021-10-26,2031-10-24,10,37.50961830041279,17398,0.038,35390,0.89,0.88,21175
T_00099,CBRE_00014,Finance Corp 99,Non-Profit,A,799,2022-05-20,2027-05-19,5,38.892030056478376,26410,0.037,57531,0.73,0.98,39295
T_00100,CBRE_00014,Finance Corp 100,Education,BBB,346,2020-11-21,2027-11-20,7,33.96703523831054,12460,0.021,24884,0.92,0.89,19178
T_00101,CBRE_00014,Healthcare Corp 101,Retail,B,571,2022-08-20,2025-08-19,3,32.51306816658651,19996,0.035,41089,0.75,0.85,12927
T_00102,CBRE_00014,Retail Corp 102,Legal,B,657,2018-11-30,2028-11-27,10,32.70648182987427,24002,0.024,47309,0.95,0.87,27858
T_00103,CBRE_00014,Government Corp 103,Finance,BBB,667,2023-09-01,2033-08-29,10,32.76176589638443,25151,0.022,47991,0.83,0.97,32702
T_00104,CBRE_00014,Consulting Corp 104,Government,BBB,831,2023-05-19,2026-05-18,3,38.7859277684885,27023,0.028,59799,0.69,0.88,44494
T_00105,CBRE_00014,Education Corp 105,Retail,B,685,2022-04-09,2025-04-08,3,37.357884195410406,25459,0.027,49280,0.62,0.97,18378
T_00106,CBRE_00014,Non-Profit Corp 106,Manufacturing,AA,499,2023-10-06,2030-10-04,7,33.07088176762964,19545,0.033,35926,0.64,1.0,12922
T_00107,CBRE_00014,Non-Profit Corp 107,Manufacturing,AA,725,2021-05-18,2026-05-17,5,36.71725368172523,27907,0.021,52157,0.88,0.91,19120
T_00108,CBRE_00014,Non-Profit Corp 108,Finance,BB,387,2023-01-25,2028-01-24,5,34.94500775689173,13936,0.032,27846,0.95,0.94,11210
T_00109,CBRE_00014,Retail Corp 109,Retail,B,623,2021-11-12,2028-11-10,7,34.7909785961622,22439,0.036,44811,0.69,0.91,33158
T_00110,CBRE_00014,Government Corp 110,Non-Profit,A,727,2019-11-18,2029-11-15,10,38.86163810050575,24034,0.034,52311,0.68,0.9,42056
T_00111,CBRE_00014,Healthcare Corp 111,Consulting,BBB,437,2019-10-26,2022-10-25,3,36.75343915836308,14815,0.029,31432,0.9,0.88,9072
T_00112,CBRE_00014,Non-Profit Corp 112,Non-Profit,BBB,659,2020-07-01,2030-06-29,10,35.766972155065226,23391,0.031,47447,0.63,0.99,29688
T_00113,CBRE_00014,Finance Corp 113,Healthcare,AAA,391,2022-06-28,2025-06-27,3,36.91920022559993,14504,0.032,28171,0.66,0.94,8715
T_00114,CBRE_00014,Retail Corp 114,Finance,B,635,2018-06-27,2023-06-26,5,38.5011769253037,25039,0.04,45686,0.87,0.99,34723
T_00115,CBRE_00014,Legal Corp 115,Consulting,BBB,703,2019-05-20,2024-05-18,5,39.034033640679446,26521,0.028,50560,0.72,0.93,38503
T_00116,CBRE_00014,Finance Corp 116,Healthcare,A,291,2021-06-26,2024-06-25,3,32.469345025093396,11306,0.038,20951,0.62,0.93,7600
T_00117,CBRE_00014,Retail Corp 117,Healthcare,BBB,720,2023-11-23,2028-11-21,5,33.73110126466649,27625,0.037,51842,0.78,0.99,38754
T_00118,CBRE_00014,Education Corp 118,Manufacturing,BBB,705,2022-04-23,2027-04-22,5,36.98768915388757,27726,0.024,50715,0.82,0.88,20014
T_00119,CBRE_00014,Manufacturing Corp 119,Non-Profit,BBB,669,2023-04-19,2026-04-18,3,33.95860634415003,26410,0.037,48158,0.61,0.99,32687
T_00120,CBRE_00014,Healthcare Corp 120,Non-Profit,BB,333,2023-03-19,2026-03-18,3,33.00851760504011,11968,0.02,23987,0.94,0.96,8785
T_00121,CBRE_00014,Manufacturing Corp 121,Manufacturing,BB,482,2023-09-22,2026-09-21,3,39.16204485426191,17945,0.024,34666,0.73,0.92,21286
T_00122,CBRE_00014,Healthcare Corp 122,Government,A,669,2020-10-04,2030-10-02,10,34.06125749175025,22163,0.025,48134,0.79,0.97,20837
T_00123,CBRE_00014,Education Corp 123,Healthcare,A,642,2021-05-30,2024-05-29,3,34.84384571570647,21859,0.039,46177,0.83,0.89,36697
T_00124,CBRE_00014,Education Corp 124,Healthcare,BBB,710,2021-04-10,2026-04-09,5,34.24713858789092,26913,0.028,51096,0.86,0.85,18053
T_00125,CBRE_00014,Government Corp 125,Consulting,AA,495,2021-11-19,2026-11-18,5,38.56885450906491,18744,0.024,35626,0.77,0.92,24256
T_00126,CBRE_00014,Healthcare Corp 126,Healthcare,AAA,516,2019-10-27,2026-10-25,7,38.009605196121676,17476,0.026,37130,0.77,0.92,21064
T_00127,CBRE_00014,Retail Corp 127,Government,BB,598,2018-12-07,2021-12-06,3,35.26022836883107,21541,0.033,43031,0.92,0.96,13047
T_00128,CBRE_00014,Non-Profit Corp 128,Technology,AAA,766,2023-02-03,2028-02-02,5,34.298977820004495,28770,0.031,55131,0.76,0.95,27534
T_00129,CBRE_00014,Retail Corp 129,Technology,A,301,2018-03-27,2023-03-26,5,39.46329268288542,10384,0.029,21671,0.64,0.89,6605
T_00130,CBRE_00014,Government Corp 130,Healthcare,BBB,606,2022-07-09,2027-07-08,5,33.67744052019395,20507,0.038,43638,0.68,0.9,25319
T_00131,CBRE_00014,Legal Corp 131,Manufacturing,BBB,801,2019-07-03,2024-07-01,5,35.80407825104913,29929,0.024,57649,0.94,0.95,27740
T_00132,CBRE_00014,Education Corp 132,Education,AAA,630,2019-09-21,2024-09-19,5,36.12739864995439,24850,0.03,45314,0.66,0.85,21529
T_00133,CBRE_00014,Government Corp 133,Manufacturing,BB,812,2021-10-13,2031-10-11,10,36.39839507385896,29736,0.031,58413,0.85,0.91,37963
T_00134,CBRE_00014,Government Corp 134,Manufacturing,B,356,2019-06-26,2026-06-24,7,36.26070327748391,11602,0.039,25602,0.85,0.91,15631
T_00135,CBRE_00014,Government Corp 135,Government,A,532,2022-02-08,2029-02-06,7,33.12800309893017,17243,0.026,38295,0.65,0.88,10883
T_00136,CBRE_00014,Healthcare Corp 136,Finance,BBB,416,2022-04-12,2027-04-11,5,35.29632797951316,15014,0.035,29951,0.77,0.85,8539
T_00137,CBRE_00014,Non-Profit Corp 137,Technology,A,665,2018-01-29,2025-01-27,7,35.772236260438085,22644,0.04,47831,0.69,0.91,31403
T_00138,CBRE_00014,Legal Corp 138,Consulting,CCC,788,2019-11-25,2024-11-23,5,37.98008000714616,31029,0.034,56674,0.74,0.91,31143
T_00139,CBRE_00014,Technology Corp 139,Consulting,BB,525,2018-04-03,2025-04-01,7,38.07888150271695,19946,0.022,37763,0.7,0.89,30114
T_00140,CBRE_00014,Legal Corp 140,Education,A,565,2022-12-24,2027-12-23,5,37.72529742102953,21946,0.023,40671,0.85,0.93,13838
T_00141,CBRE_00014,Consulting Corp 141,Healthcare,B,659,2020-12-03,2025-12-02,5,33.34209430093832,25698,0.027,47431,0.75,0.9,23955
T_00142,CBRE_00014,Government Corp 142,Non-Profit,BBB,435,2019-02-12,2024-02-11,5,33.085070555447935,15536,0.022,31269,0.84,0.97,25418
T_00143,CBRE_00014,Government Corp 143,Education,AAA,371,2020-01-12,2027-01-10,7,35.96127853621455,13437,0.021,26722,0.71,0.99,13756
T_00144,CBRE_00015,Education Corp 144,Finance,CCC,7722,2020-07-13,2023-07-13,3,16.39466532560807,152275,0.037,277683,0.83,0.96,176893
T_00145,CBRE_00015,Non-Profit Corp 145,Finance,BB,3514,2019-12-28,2022-12-27,3,18.001954115470774,62698,0.025,126371,0.76,0.99,99914
T_00146,CBRE_00015,Consulting Corp 146,Education,B,4407,2022-12-24,2027-12-23,5,18.24567820039187,75172,0.029,158475,0.74,0.86,178155
T_00147,CBRE_00015,Retail Corp 147,Education,A,4063,2021-09-12,2026-09-11,5,19.08163810899634,72475,0.022,146098,0.85,0.89,89201
T_00148,CBRE_00015,Technology Corp 148,Government,A,9104,2020-04-14,2030-04-12,10,16.789915775281973,159181,0.038,327375,0.77,0.99,303828
T_00149,CBRE_00015,Education Corp 149,Legal,BBB,4715,2018-01-29,2023-01-28,5,17.42632571250194,79998,0.026,169558,0.84,0.91,109346
T_00150,CBRE_00016,Manufacturing Corp 150,Finance,BBB,33301,2022-10-08,2027-10-07,5,35.24363583799081,1150176,0.037,2272460,0.81,0.99,1441709
T_00151,CBRE_00016,Legal Corp 151,Consulting,A,5445,2020-09-12,2023-09-12,3,34.44197735203163,191722,0.039,371595,0.75,0.96,134289
T_00152,CBRE_00016,Technology Corp 152,Government,B,11275,2022-02-18,2029-02-16,7,35.371012751624875,364914,0.032,769416,0.94,1.0,515211
T_00153,CBRE_00016,Consulting Corp 153,Retail,A,11254,2023-12-30,2028-12-28,5,33.715673908135635,410411,0.039,767965,0.77,0.94,340857
T_00154,CBRE_00016,Finance Corp 154,Government,BBB,8224,2020-12-02,2030-11-30,10,33.67160703459235,291976,0.033,561223,0.73,0.91,278979
T_00155,CBRE_00016,Finance Corp 155,Legal,BB,5967,2019-09-12,2024-09-10,5,36.023033775698686,198488,0.035,407177,0.6,0.92,308821
T_00156,CBRE_00016,Legal Corp 156,Non-Profit,BBB,9169,2020-06-01,2025-05-31,5,37.26787381226561,310249,0.03,625697,0.72,0.85,342210
T_00157,CBRE_00016,Retail Corp 157,Non-Profit,BBB,9372,2019-11-13,2024-11-11,5,37.270938928074585,305998,0.035,639565,0.8,0.96,344082
T_00158,CBRE_00016,Manufacturing Corp 158,Healthcare,A,6322,2021-10-13,2026-10-12,5,36.43494747472832,214678,0.037,431441,0.77,0.93,378151
T_00159,CBRE_00016,Non-Profit Corp 159,Healthcare,BBB,11777,2023-06-04,2026-06-03,3,34.70087474619002,419943,0.033,803687,0.85,0.91,578328
T_00160,CBRE_00016,Legal Corp 160,Legal,BB,5223,2019-02-28,2024-02-27,5,34.03920027976376,168519,0.035,356435,0.69,0.9,144166
T_00161,CBRE_00017,Technology Corp 161,Non-Profit,BBB,21530,2022-02-06,2027-02-05,5,33.97597044201993,667403,0.038,1433037,0.76,0.9,539706
T_00162,CBRE_00017,Retail Corp 162,Education,BBB,4033,2019-03-21,2022-03-20,3,36.08563174419788,128854,0.032,268449,0.93,0.96,90718
T_00163,CBRE_00017,Consulting Corp 163,Non-Profit,BB,5306,2020-11-10,2025-11-09,5,32.201010114414075,190435,0.032,353162,0.78,0.9,157843
T_00164,CBRE_00017,Education Corp 164,Healthcare,A,6787,2023-06-18,2030-06-16,7,33.104712622273766,244923,0.04,451755,0.69,0.99,206708
T_00165,CBRE_00017,Retail Corp 165,Consulting,B,5516,2022-09-17,2029-09-15,7,35.27850845745043,173845,0.031,367144,0.73,0.92,144289
T_00166,CBRE_00017,Consulting Corp 166,Non-Profit,BBB,4926,2020-03-08,2023-03-08,3,34.29927170363417,153155,0.027,327854,0.93,0.92,256637
T_00167,CBRE_00017,Consulting Corp 167,Education,A,8618,2021-08-22,2028-08-20,7,36.358885130288904,304709,0.037,573581,0.61,0.99,440558
T_00168,CBRE_00017,Finance Corp 168,Healthcare,CCC,7656,2019-10-11,2022-10-10,3,33.28450660990525,249591,0.037,509592,0.63,0.91,268179
T_00169,CBRE_00017,Manufacturing Corp 169,Technology,A,5131,2019-05-30,2022-05-29,3,34.214543114217356,185101,0.03,341552,0.7,0.87,273025
T_00170,CBRE_00017,Consulting Corp 170,Healthcare,BB,8885,2023-04-06,2028-04-04,5,32.98316106042657,303386,0.034,591388,0.94,0.87,532172
T_00171,CBRE_00018,Healthcare Corp 171,Legal,AAA,32306,2018-08-15,2021-08-14,3,19.5463055603471,602141,0.039,1319377,0.82,0.88,797010
T_00172,CBRE_00018,Healthcare Corp 172,Retail,BBB,7592,2018-01-27,2021-01-26,3,22.106176774715877,157135,0.03,310050,0.88,0.85,211777
T_00173,CBRE_00018,Legal Corp 173,Manufacturing,A,8692,2019-09-10,2024-09-08,5,18.571966413602606,190462,0.023,354970,0.93,0.92,292176
T_00174,CBRE_00018,Government Corp 174,Healthcare,BBB,10834,2020-01-15,2025-01-13,5,20.147018167813954,239924,0.034,442475,0.69,0.88,316522
T_00175,CBRE_00018,Non-Profit Corp 175,Consulting,BBB,6662,2018-09-06,2021-09-05,3,20.052905099009866,134472,0.037,272080,0.81,0.85,271573
